time,imu_x,x,y,phase
32.461,15.0,0.0,0.0,forward_1
32.522,15.125,0.0,0.0,forward_1
32.585,15.125,0.0,0.0,forward_1
32.647,15.125,0.0,0.0,forward_1
32.708,15.062,0.0,0.0,forward_1
32.771,15.062,0.0,0.0,forward_1
32.831,15.062,0.0,0.0,forward_1
32.894,15.125,0.0,0.0,forward_1
32.957,15.125,0.0,0.0,forward_1
33.017,15.062,0.0,0.0,forward_1
33.08,15.062,0.0,0.0,forward_1
33.141,15.0,0.0,0.0,forward_1
33.204,15.25,0.0,0.0,forward_1
33.267,15.25,0.0,0.0,forward_1
33.327,15.312,0.0,0.0,forward_1
33.39,15.312,0.0,0.0,forward_1
33.451,15.375,0.0,0.0,forward_1
33.513,15.375,0.0,0.0,forward_1
33.576,15.375,0.0,0.0,forward_1
33.637,15.375,0.0,0.0,forward_1
33.699,15.375,0.0,0.0,forward_1
33.76,15.438,0.0,0.0,forward_1
33.823,15.438,0.0,0.0,forward_1
33.886,15.438,0.0,0.0,forward_1
33.947,15.438,0.0,0.0,forward_1
34.009,15.438,0.0,0.0,forward_1
34.07,15.562,0.0,0.0,forward_1
34.133,15.688,0.0,0.0,forward_1
34.195,15.688,0.0,0.0,forward_1
34.256,15.75,0.0,0.0,forward_1
34.319,15.75,0.0,0.0,forward_1
34.379,15.875,0.0,0.0,forward_1
34.443,15.875,0.0,0.0,forward_1
34.506,15.875,0.0,0.0,forward_1
34.566,15.875,0.0,0.0,forward_1
34.629,15.875,0.0,0.0,forward_1
34.69,15.875,0.0,0.0,forward_1
34.752,15.875,0.0,0.0,forward_1
34.816,15.875,0.0,0.0,forward_1
34.876,15.938,0.0,0.0,forward_1
34.939,15.938,0.0,0.0,forward_1
35.202,16.062,1.3544,0.3884,forward_1_done
35.265,16.125,1.3544,0.3884,turn_1
35.328,16.25,1.3544,0.3884,turn_1
35.391,12.25,1.3544,0.3884,turn_1
35.454,12.25,1.3544,0.3884,turn_1
35.514,5.75,1.3544,0.3884,turn_1
35.577,358.5,1.3544,0.3884,turn_1
35.64,358.5,1.3544,0.3884,turn_1
35.701,350.312,1.3544,0.3884,turn_1
35.764,350.312,1.3544,0.3884,turn_1
35.824,343.125,1.3544,0.3884,turn_1
35.887,335.688,1.3544,0.3884,turn_1
35.951,335.688,1.3544,0.3884,turn_1
36.011,327.812,1.3544,0.3884,turn_1
36.074,327.812,1.3544,0.3884,turn_1
36.135,318.688,1.3544,0.3884,turn_1
36.198,310.562,1.3544,0.3884,turn_1
36.261,310.562,1.3544,0.3884,turn_1
36.322,302.188,1.3544,0.3884,turn_1
36.635,293.375,1.3544,0.3884,turn_1_done
36.699,286.938,1.3544,0.3884,forward_2
36.762,286.188,1.3544,0.3884,forward_2
36.825,286.312,1.3544,0.3884,forward_2
36.887,286.688,1.3544,0.3884,forward_2
36.951,286.875,1.3544,0.3884,forward_2
37.013,286.875,1.3544,0.3884,forward_2
37.074,286.688,1.3544,0.3884,forward_2
37.137,286.625,1.3544,0.3884,forward_2
37.2,286.625,1.3544,0.3884,forward_2
37.261,286.75,1.3544,0.3884,forward_2
37.324,286.75,1.3544,0.3884,forward_2
37.384,286.875,1.3544,0.3884,forward_2
37.447,287.0,1.3544,0.3884,forward_2
37.51,287.0,1.3544,0.3884,forward_2
37.57,287.125,1.3544,0.3884,forward_2
37.634,287.125,1.3544,0.3884,forward_2
37.694,287.188,1.3544,0.3884,forward_2
37.757,287.188,1.3544,0.3884,forward_2
37.82,287.188,1.3544,0.3884,forward_2
37.881,287.188,1.3544,0.3884,forward_2
37.944,287.188,1.3544,0.3884,forward_2
38.004,287.188,1.3544,0.3884,forward_2
38.068,287.125,1.3544,0.3884,forward_2
38.131,287.125,1.3544,0.3884,forward_2
38.191,287.125,1.3544,0.3884,forward_2
38.254,287.125,1.3544,0.3884,forward_2
38.315,287.188,1.3544,0.3884,forward_2
38.377,287.125,1.3544,0.3884,forward_2
38.441,287.125,1.3544,0.3884,forward_2
38.501,287.25,1.3544,0.3884,forward_2
38.564,287.25,1.3544,0.3884,forward_2
38.625,287.25,1.3544,0.3884,forward_2
38.688,287.125,1.3544,0.3884,forward_2
38.751,287.125,1.3544,0.3884,forward_2
38.811,287.0,1.3544,0.3884,forward_2
38.876,287.0,1.3544,0.3884,forward_2
38.936,286.938,1.3544,0.3884,forward_2
38.999,287.0,1.3544,0.3884,forward_2
39.062,287.0,1.3544,0.3884,forward_2
39.122,287.125,1.3544,0.3884,forward_2
39.185,287.125,1.3544,0.3884,forward_2
39.246,287.062,1.3544,0.3884,forward_2
39.309,287.125,1.3544,0.3884,forward_2
39.371,287.125,1.3544,0.3884,forward_2
39.432,287.25,1.3544,0.3884,forward_2
39.495,287.25,1.3544,0.3884,forward_2
39.555,287.125,1.3544,0.3884,forward_2
39.618,287.062,1.3544,0.3884,forward_2
39.681,287.062,1.3544,0.3884,forward_2
39.741,287.062,1.3544,0.3884,forward_2
39.804,287.062,1.3544,0.3884,forward_2
39.864,287.125,1.3544,0.3884,forward_2
39.928,287.062,1.3544,0.3884,forward_2
39.991,287.062,1.3544,0.3884,forward_2
40.051,287.062,1.3544,0.3884,forward_2
40.114,287.062,1.3544,0.3884,forward_2
40.175,287.125,1.3544,0.3884,forward_2
40.237,287.188,1.3544,0.3884,forward_2
40.3,287.188,1.3544,0.3884,forward_2
40.36,287.125,1.3544,0.3884,forward_2
40.423,287.125,1.3544,0.3884,forward_2
40.484,286.938,1.3544,0.3884,forward_2
40.547,286.812,1.3544,0.3884,forward_2
40.61,286.812,1.3544,0.3884,forward_2
40.671,286.938,1.3544,0.3884,forward_2
40.733,286.938,1.3544,0.3884,forward_2
40.794,287.062,1.3544,0.3884,forward_2
41.02,287.188,1.646,-0.5581,forward_2_done
41.083,287.25,1.646,-0.5581,turn_2
41.146,287.25,1.646,-0.5581,turn_2
41.207,285.688,1.646,-0.5581,turn_2
41.27,278.75,1.646,-0.5581,turn_2
41.333,278.75,1.646,-0.5581,turn_2
41.393,270.938,1.646,-0.5581,turn_2
41.456,270.938,1.646,-0.5581,turn_2
41.517,262.125,1.646,-0.5581,turn_2
41.58,253.062,1.646,-0.5581,turn_2
41.643,253.062,1.646,-0.5581,turn_2
41.704,243.062,1.646,-0.5581,turn_2
41.767,243.062,1.646,-0.5581,turn_2
41.827,234.75,1.646,-0.5581,turn_2
41.89,226.562,1.646,-0.5581,turn_2
41.953,226.562,1.646,-0.5581,turn_2
42.013,217.688,1.646,-0.5581,turn_2
42.327,209.688,1.646,-0.5581,turn_2_done
42.39,202.188,1.646,-0.5581,forward_3
42.454,200.562,1.646,-0.5581,forward_3
42.517,200.688,1.646,-0.5581,forward_3
42.58,201.062,1.646,-0.5581,forward_3
42.643,201.375,1.646,-0.5581,forward_3
42.707,201.375,1.646,-0.5581,forward_3
42.77,201.375,1.646,-0.5581,forward_3
42.83,201.312,1.646,-0.5581,forward_3
42.893,201.312,1.646,-0.5581,forward_3
42.954,201.25,1.646,-0.5581,forward_3
43.017,201.188,1.646,-0.5581,forward_3
43.08,201.188,1.646,-0.5581,forward_3
43.141,201.312,1.646,-0.5581,forward_3
43.203,201.312,1.646,-0.5581,forward_3
43.264,201.375,1.646,-0.5581,forward_3
43.327,201.625,1.646,-0.5581,forward_3
43.39,201.625,1.646,-0.5581,forward_3
43.451,201.75,1.646,-0.5581,forward_3
43.514,201.75,1.646,-0.5581,forward_3
43.574,201.75,1.646,-0.5581,forward_3
43.637,201.625,1.646,-0.5581,forward_3
43.7,201.625,1.646,-0.5581,forward_3
43.76,201.562,1.646,-0.5581,forward_3
43.824,201.562,1.646,-0.5581,forward_3
43.884,201.5,1.646,-0.5581,forward_3
43.947,201.562,1.646,-0.5581,forward_3
44.01,201.562,1.646,-0.5581,forward_3
44.071,201.625,1.646,-0.5581,forward_3
44.134,201.625,1.646,-0.5581,forward_3
44.195,201.875,1.646,-0.5581,forward_3
44.258,202.062,1.646,-0.5581,forward_3
44.321,202.062,1.646,-0.5581,forward_3
44.382,202.0,1.646,-0.5581,forward_3
44.444,202.0,1.646,-0.5581,forward_3
44.505,201.75,1.646,-0.5581,forward_3
44.568,201.625,1.646,-0.5581,forward_3
44.631,201.625,1.646,-0.5581,forward_3
44.692,201.5,1.646,-0.5581,forward_3
44.755,201.5,1.646,-0.5581,forward_3
44.815,201.562,1.646,-0.5581,forward_3
44.878,201.625,1.646,-0.5581,forward_3
44.941,201.625,1.646,-0.5581,forward_3
45.002,201.75,1.646,-0.5581,forward_3
45.065,201.75,1.646,-0.5581,forward_3
45.125,201.875,1.646,-0.5581,forward_3
45.189,201.938,1.646,-0.5581,forward_3
45.251,201.938,1.646,-0.5581,forward_3
45.312,201.75,1.646,-0.5581,forward_3
45.375,201.75,1.646,-0.5581,forward_3
45.435,201.75,1.646,-0.5581,forward_3
45.498,201.625,1.646,-0.5581,forward_3
45.561,201.625,1.646,-0.5581,forward_3
45.622,201.625,1.646,-0.5581,forward_3
45.685,201.625,1.646,-0.5581,forward_3
45.745,201.812,1.646,-0.5581,forward_3
45.808,202.0,1.646,-0.5581,forward_3
